name,organism,domain,phylum,accession,length
Escherichia_coli,Escherichia coli,Bacteria,Pseudomonadota,NR_114042.1,1467
Salmonella_enterica,Salmonella enterica,Bacteria,Pseudomonadota,NR_074910.1,1544
Klebsiella_pneumoniae,Klebsiella pneumoniae,Bacteria,Pseudomonadota,NR_119278.1,1452
Yersinia_pestis,Yersinia pestis,Bacteria,Pseudomonadota,NR_025160.1,1461
Serratia_marcescens,Serratia marcescens,Bacteria,Pseudomonadota,NR_114043.1,1467
Proteus_mirabilis,Proteus mirabilis,Bacteria,Pseudomonadota,NR_114419.1,1497
Vibrio_cholerae,Vibrio cholerae,Bacteria,Pseudomonadota,NR_117894.1,1461
Aeromonas_hydrophila,Aeromonas hydrophila,Bacteria,Pseudomonadota,NR_119190.1,1538
Pseudomonas_aeruginosa,Pseudomonas aeruginosa,Bacteria,Pseudomonadota,NR_117678.1,1527
Pseudomonas_putida,Pseudomonas putida,Bacteria,Pseudomonadota,NR_114794.1,1371
Acinetobacter_baumannii,Acinetobacter baumannii,Bacteria,Pseudomonadota,NR_119358.1,1416
Haemophilus_influenzae,Haemophilus influenzae,Bacteria,Pseudomonadota,NR_044682.2,1486
Neisseria_meningitidis,Neisseria meningitidis,Bacteria,Pseudomonadota,NR_104946.1,1415
Bordetella_pertussis,Bordetella pertussis,Bacteria,Pseudomonadota,NR_025951.1,1464
Burkholderia_cepacia,Burkholderia cepacia,Bacteria,Pseudomonadota,NR_116149.1,1313
Ralstonia_solanacearum,Ralstonia solanacearum,Bacteria,Pseudomonadota,NR_118984.1,1434
Legionella_pneumophila,Legionella pneumophila,Bacteria,Pseudomonadota,NR_104921.1,1510
Coxiella_burnetii,Coxiella burnetii,Bacteria,Pseudomonadota,NR_104916.1,1465
Francisella_tularensis,Francisella tularensis,Bacteria,Pseudomonadota,NR_115348.1,1450
Agrobacterium_tumefaciens,Agrobacterium tumefaciens,Bacteria,Pseudomonadota,NR_174322.1,1485
Bradyrhizobium_japonicum,Bradyrhizobium japonicum,Bacteria,Pseudomonadota,NR_112552.1,1400
Caulobacter_vibrioides,Caulobacter vibrioides,Bacteria,Pseudomonadota,NR_037099.1,1458
Rhodobacter_sphaeroides,Rhodobacter sphaeroides,Bacteria,Pseudomonadota,NR_115745.1,1389
Brucella_melitensis,Brucella melitensis,Bacteria,Pseudomonadota,NR_118257.1,1400
Rickettsia_prowazekii,Rickettsia prowazekii,Bacteria,Pseudomonadota,NR_044656.2,1498
Desulfovibrio_vulgaris,Desulfovibrio vulgaris,Bacteria,Thermodesulfobacteriota,NR_118708.1,1388
Geobacter_sulfurreducens,Geobacter sulfurreducens,Bacteria,Thermodesulfobacteriota,NR_029179.1,1408
Myxococcus_xanthus,Myxococcus xanthus,Bacteria,Myxococcota,NR_112544.1,1463
Bdellovibrio_bacteriovorus,Bdellovibrio bacteriovorus,Bacteria,Bdellovibrionota,NR_027553.1,1294
Helicobacter_pylori,Helicobacter pylori,Bacteria,Campylobacterota,NR_044761.1,1503
Campylobacter_jejuni,Campylobacter jejuni,Bacteria,Campylobacterota,NR_118520.1,1435
Bacillus_subtilis,Bacillus subtilis,Bacteria,Bacillota,NR_102783.2,1550
Bacillus_cereus,Bacillus cereus,Bacteria,Bacillota,NR_115714.1,1535
Staphylococcus_aureus,Staphylococcus aureus,Bacteria,Bacillota,NR_037007.2,1552
Staphylococcus_epidermidis,Staphylococcus epidermidis,Bacteria,Bacillota,NR_113957.1,1476
Streptococcus_pneumoniae,Streptococcus pneumoniae,Bacteria,Bacillota,NR_117496.1,1426
Streptococcus_pyogenes,Streptococcus pyogenes,Bacteria,Bacillota,NR_112088.1,1501
Enterococcus_faecalis,Enterococcus faecalis,Bacteria,Bacillota,NR_115765.1,1483
Lactococcus_lactis,Lactococcus lactis,Bacteria,Bacillota,NR_040956.1,1499
Listeria_monocytogenes,Listeria monocytogenes,Bacteria,Bacillota,NR_044823.1,1469
Clostridium_perfringens,Clostridium perfringens,Bacteria,Bacillota,NR_121697.2,1513
Clostridioides_difficile,Clostridioides difficile,Bacteria,Bacillota,NR_113132.1,1464
Veillonella_parvula,Veillonella parvula,Bacteria,Bacillota,NR_119168.1,1513
Mycoplasma_genitalium,Mycoplasma genitalium,Bacteria,Mycoplasmatota,NR_074611.1,1519
Mycobacterium_tuberculosis,Mycobacterium tuberculosis,Bacteria,Actinomycetota,NR_044826.2,1532
Mycobacterium_leprae,Mycobacterium leprae,Bacteria,Actinomycetota,X55587.1,1485
Bifidobacterium_longum,Bifidobacterium longum,Bacteria,Actinomycetota,NR_145535.1,1494
Corynebacterium_glutamicum,Corynebacterium glutamicum,Bacteria,Actinomycetota,NR_074663.1,1524
Corynebacterium_diphtheriae,Corynebacterium diphtheriae,Bacteria,Actinomycetota,NR_037079.1,1485
Streptomyces_coelicolor,Streptomyces coelicolor,Bacteria,Actinomycetota,NR_119342.1,1476
Streptomyces_griseus,Streptomyces griseus,Bacteria,Actinomycetota,NR_043351.1,1496
Micrococcus_luteus,Micrococcus luteus,Bacteria,Actinomycetota,NR_075062.2,1525
Nocardia_asteroides,Nocardia asteroides,Bacteria,Actinomycetota,NR_119105.1,1471
Frankia_alni,Frankia alni,Bacteria,Actinomycetota,NR_153674.1,1510
Bacteroides_fragilis,Bacteroides fragilis,Bacteria,Bacteroidota,NR_074784.2,1529
Bacteroides_thetaiotaomicron,Bacteroides thetaiotaomicron,Bacteria,Bacteroidota,NR_074277.1,1483
Porphyromonas_gingivalis,Porphyromonas gingivalis,Bacteria,Bacteroidota,NR_119038.1,1453
Prevotella_melaninogenica,Prevotella melaninogenica,Bacteria,Bacteroidota,NR_113113.1,1480
Flavobacterium_johnsoniae,Flavobacterium johnsoniae,Bacteria,Bacteroidota,NR_118479.1,1264
Cytophaga_hutchinsonii,Cytophaga hutchinsonii,Bacteria,Bacteroidota,NR_115472.1,1258
Chlorobaculum_tepidum,Chlorobaculum tepidum,Bacteria,Chlorobiota,NR_044685.2,1450
Chloroflexus_aurantiacus,Chloroflexus aurantiacus,Bacteria,Chloroflexota,NR_074263.1,1479
Dehalococcoides_mccartyi,Dehalococcoides mccartyi,Bacteria,Chloroflexota,NR_114415.1,1434
Synechocystis_PCC6803,Synechocystis sp. PCC 6803,Bacteria,Cyanobacteriota,AY224195.1,1238
Synechococcus_elongatus,Synechococcus elongatus,Bacteria,Cyanobacteriota,NR_074309.1,1489
Prochlorococcus_marinus,Prochlorococcus marinus,Bacteria,Cyanobacteriota,NR_125480.1,1465
Nostoc_punctiforme,Nostoc punctiforme,Bacteria,Cyanobacteriota,NR_114430.1,1410
Microcystis_aeruginosa,Microcystis aeruginosa,Bacteria,Cyanobacteriota,NR_074314.1,1489
Gloeobacter_violaceus,Gloeobacter violaceus,Bacteria,Cyanobacteriota,NR_074282.1,1485
Trichodesmium_erythraeum,Trichodesmium erythraeum,Bacteria,Cyanobacteriota,KM982563.1,1436
Borreliella_burgdorferi,Borreliella burgdorferi,Bacteria,Spirochaetota,NR_044732.2,1477
Treponema_pallidum,Treponema pallidum,Bacteria,Spirochaetota,M88726.1,1573
Leptospira_interrogans,Leptospira interrogans,Bacteria,Spirochaetota,NR_116542.1,1464
Chlamydia_trachomatis,Chlamydia trachomatis,Bacteria,Chlamydiota,NR_025888.1,1548
Chlamydia_pneumoniae,Chlamydia pneumoniae,Bacteria,Chlamydiota,NR_026527.1,1479
Parachlamydia_acanthamoebae,Parachlamydia acanthamoebae,Bacteria,Chlamydiota,NR_026357.1,1541
Rhodopirellula_baltica,Rhodopirellula baltica,Bacteria,Planctomycetota,NR_043384.1,1515
Planctopirus_limnophila,Planctopirus limnophila,Bacteria,Planctomycetota,NR_074670.1,1524
Gemmata_obscuriglobus,Gemmata obscuriglobus,Bacteria,Planctomycetota,NR_118911.1,1491
Akkermansia_muciniphila,Akkermansia muciniphila,Bacteria,Verrucomicrobiota,NR_042817.1,1433
Verrucomicrobium_spinosum,Verrucomicrobium spinosum,Bacteria,Verrucomicrobiota,NR_026266.1,1492
Opitutus_terrae,Opitutus terrae,Bacteria,Verrucomicrobiota,NR_074978.1,1551
Deinococcus_radiodurans,Deinococcus radiodurans,Bacteria,Deinococcota,NR_074411.1,1502
Thermus_thermophilus,Thermus thermophilus,Bacteria,Deinococcota,NR_113293.1,1457
Aquifex_aeolicus,Aquifex aeolicus,Bacteria,Aquificota,NR_075056.2,1584
Hydrogenobacter_thermophilus,Hydrogenobacter thermophilus,Bacteria,Aquificota,NR_075004.2,1552
Thermotoga_maritima,Thermotoga maritima,Bacteria,Thermotogota,NR_102775.2,1558
Fervidobacterium_nodosum,Fervidobacterium nodosum,Bacteria,Thermotogota,NR_074093.1,1502
Fusobacterium_nucleatum,Fusobacterium nucleatum,Bacteria,Fusobacteriota,NR_117287.1,1442
Acidobacterium_capsulatum,Acidobacterium capsulatum,Bacteria,Acidobacteriota,NR_074106.1,1493
Leptospirillum_ferrooxidans,Leptospirillum ferrooxidans,Bacteria,Nitrospirota,NR_027216.1,1484
Methanocaldococcus_jannaschii,Methanocaldococcus jannaschii,Archaea,Euryarchaeota,NR_113292.1,1458
Methanococcus_maripaludis,Methanococcus maripaludis,Archaea,Euryarchaeota,NR_118369.1,1262
Methanosarcina_barkeri,Methanosarcina barkeri,Archaea,Euryarchaeota,NR_118371.1,1268
Methanobrevibacter_smithii,Methanobrevibacter smithii,Archaea,Euryarchaeota,NR_115169.1,1262
Halobacterium_salinarum,Halobacterium salinarum,Archaea,Euryarchaeota,NR_025555.1,1434
Haloferax_volcanii,Haloferax volcanii,Archaea,Euryarchaeota,NR_074218.1,1473
Archaeoglobus_fulgidus,Archaeoglobus fulgidus,Archaea,Euryarchaeota,NR_119237.1,1492
Thermococcus_kodakarensis,Thermococcus kodakarensis,Archaea,Euryarchaeota,NR_028216.1,1498
Pyrococcus_furiosus,Pyrococcus furiosus,Archaea,Euryarchaeota,NR_113294.1,1321
Thermoplasma_acidophilum,Thermoplasma acidophilum,Archaea,Euryarchaeota,NR_028235.1,1471
Saccharolobus_solfataricus,Saccharolobus solfataricus,Archaea,Thermoproteota,NR_119198.1,1436
Sulfolobus_acidocaldarius,Sulfolobus acidocaldarius,Archaea,Thermoproteota,NR_115499.1,1463
Pyrobaculum_aerophilum,Pyrobaculum aerophilum,Archaea,Thermoproteota,NR_102764.2,1498
Thermoproteus_tenax,Thermoproteus tenax,Archaea,Thermoproteota,NR_044683.1,1504
Nitrosopumilus_maritimus,Nitrosopumilus maritimus,Archaea,Nitrososphaerota,NR_102913.1,1469
